index,sales_id,order_id,product_id,price_per_unit,quantity_x,total_price,product_type,product_name,size,colour,price,quantity_y,description,customer_id,payment,order_date,delivery_date,delivery_time,customer_name,gender,age,home_address,zip_code,city,state,country,status,age_group
3392,3392,683,1054,93,1,93,Trousers,Joggers,XL,red,94,58,"A red coloured, XL sized, Joggers Trousers",276,59748,2021-01-01,2021-01-05,4.0,fulan 276,Prefer not to say,56,410 Ryan CrescentApt. 461,9665,Gardenport,Victoria,Australia,Active,Adults
3393,3393,683,973,97,2,194,Trousers,Slim-Fit,L,indigo,119,48,"A indigo coloured, L sized, Slim-Fit Trousers",276,59748,2021-01-01,2021-01-05,4.0,fulan 276,Prefer not to say,56,410 Ryan CrescentApt. 461,9665,Gardenport,Victoria,Australia,Active,Adults
83,83,18,970,97,3,291,Trousers,Slim-Fit,XS,indigo,119,74,"A indigo coloured, XS sized, Slim-Fit Trousers",299,22902,2021-01-01,2021-01-03,2.0,fulan 299,Prefer not to say,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,Active,Adults
2860,2860,572,316,109,3,327,Shirt,Mandarin Collar,S,red,108,48,"A red coloured, S sized, Mandarin Collar Shirt",479,34112,2021-01-01,2021-01-06,5.0,fulan 479,Prefer not to say,20,621 Eve View RdApt. 900,789,Mullerberg,Western Australia,Australia,Active,Youth
2861,2861,572,90,118,3,354,Shirt,Flannel,XS,blue,96,62,"A blue coloured, XS sized, Flannel Shirt",479,34112,2021-01-01,2021-01-06,5.0,fulan 479,Prefer not to say,20,621 Eve View RdApt. 900,789,Mullerberg,Western Australia,Australia,Active,Youth
4202,4202,838,1128,102,3,306,Trousers,Cargo Pants,L,orange,106,78,"A orange coloured, L sized, Cargo Pants Trousers",946,56562,2021-01-02,2021-01-15,13.0,fulan 946,Prefer not to say,24,8227 Nicholas HillSuite 150,115,South Jasper,Queensland,Australia,Active,Youth
2054,2054,414,625,112,1,112,Jacket,Cardigan,XS,violet,118,40,"A violet coloured, XS sized, Cardigan Jacket",212,57052,2021-01-02,2021-01-03,1.0,fulan 212,Prefer not to say,79,385 Jayden View RdApt. 459,4481,Port Logan,Western Australia,Australia,Active,Seniors
4187,4187,835,1031,90,1,90,Trousers,Relaxed Leg,S,green,95,51,"A green coloured, S sized, Relaxed Leg Trousers",106,34923,2021-01-02,2021-01-07,5.0,fulan 106,Prefer not to say,38,6553 Gibson AvenueSuite 245,7712,Stokestown,Australian Capital Territory,Australia,Active,Adults
4188,4188,835,52,104,2,208,Shirt,Dress,M,green,119,65,"A green coloured, M sized, Dress Shirt",106,34923,2021-01-02,2021-01-07,5.0,fulan 106,Prefer not to say,38,6553 Gibson AvenueSuite 245,7712,Stokestown,Australian Capital Territory,Australia,Active,Adults
4189,4189,835,279,95,3,285,Shirt,Polo,XL,violet,117,79,"A violet coloured, XL sized, Polo Shirt",106,34923,2021-01-02,2021-01-07,5.0,fulan 106,Prefer not to say,38,6553 Gibson AvenueSuite 245,7712,Stokestown,Australian Capital Territory,Australia,Active,Adults
4190,4190,835,922,96,2,192,Trousers,Drawstring,M,yellow,104,55,"A yellow coloured, M sized, Drawstring Trousers",106,34923,2021-01-02,2021-01-07,5.0,fulan 106,Prefer not to say,38,6553 Gibson AvenueSuite 245,7712,Stokestown,Australian Capital Territory,Australia,Active,Adults
4191,4191,835,379,94,3,282,Shirt,Henley,XL,indigo,92,52,"A indigo coloured, XL sized, Henley Shirt",106,34923,2021-01-02,2021-01-07,5.0,fulan 106,Prefer not to say,38,6553 Gibson AvenueSuite 245,7712,Stokestown,Australian Capital Territory,Australia,Active,Adults
4200,4200,838,1012,106,2,212,Trousers,Wool,M,violet,111,51,"A violet coloured, M sized, Wool Trousers",946,56562,2021-01-02,2021-01-15,13.0,fulan 946,Prefer not to say,24,8227 Nicholas HillSuite 150,115,South Jasper,Queensland,Australia,Active,Youth
4201,4201,838,469,118,1,118,Jacket,Puffer,XL,yellow,110,65,"A yellow coloured, XL sized, Puffer Jacket",946,56562,2021-01-02,2021-01-15,13.0,fulan 946,Prefer not to say,24,8227 Nicholas HillSuite 150,115,South Jasper,Queensland,Australia,Active,Youth
3224,3224,650,975,97,2,194,Trousers,Slim-Fit,XS,violet,119,70,"A violet coloured, XS sized, Slim-Fit Trousers",739,42938,2021-01-02,2021-01-15,13.0,fulan 739,Female,57,09 Jesse ParadeApt. 250,1335,East Matthewville,New South Wales,Australia,Active,Adults
2864,2864,573,138,92,1,92,Shirt,Denim,L,violet,115,78,"A violet coloured, L sized, Denim Shirt",736,40227,2021-01-02,2021-01-09,7.0,fulan 736,Female,55,18 Eve LaneApt. 011,2962,Doylebury,Victoria,Australia,Active,Adults
2863,2863,573,312,105,3,315,Shirt,Cuban Collar,M,violet,93,67,"A violet coloured, M sized, Cuban Collar Shirt",736,40227,2021-01-02,2021-01-09,7.0,fulan 736,Female,55,18 Eve LaneApt. 011,2962,Doylebury,Victoria,Australia,Active,Adults
2862,2862,573,749,109,2,218,Jacket,Peacoat,XL,yellow,102,53,"A yellow coloured, XL sized, Peacoat Jacket",736,40227,2021-01-02,2021-01-09,7.0,fulan 736,Female,55,18 Eve LaneApt. 011,2962,Doylebury,Victoria,Australia,Active,Adults
4592,4592,917,345,109,1,109,Shirt,Mandarin Collar,XS,violet,108,52,"A violet coloured, XS sized, Mandarin Collar Shirt",750,15620,2021-01-02,2021-01-12,10.0,fulan 750,Prefer not to say,42,4155 Hughes RidgeApt. 624,7850,Baumbachton,Victoria,Australia,Active,Adults
3225,3225,650,579,100,1,100,Jacket,Bomber,XL,green,90,79,"A green coloured, XL sized, Bomber Jacket",739,42938,2021-01-02,2021-01-15,13.0,fulan 739,Female,57,09 Jesse ParadeApt. 250,1335,East Matthewville,New South Wales,Australia,Active,Adults
3230,3230,650,1205,105,3,315,Trousers,Pleated,XS,green,90,58,"A green coloured, XS sized, Pleated Trousers",739,42938,2021-01-02,2021-01-15,13.0,fulan 739,Female,57,09 Jesse ParadeApt. 250,1335,East Matthewville,New South Wales,Australia,Active,Adults
3229,3229,650,407,119,2,238,Shirt,Casual Slim Fit,M,blue,113,61,"A blue coloured, M sized, Casual Slim Fit Shirt",739,42938,2021-01-02,2021-01-15,13.0,fulan 739,Female,57,09 Jesse ParadeApt. 250,1335,East Matthewville,New South Wales,Australia,Active,Adults
3228,3228,650,951,97,1,97,Trousers,Slim-Fit,S,orange,119,55,"A orange coloured, S sized, Slim-Fit Trousers",739,42938,2021-01-02,2021-01-15,13.0,fulan 739,Female,57,09 Jesse ParadeApt. 250,1335,East Matthewville,New South Wales,Australia,Active,Adults
3227,3227,650,953,97,1,97,Trousers,Slim-Fit,L,orange,119,66,"A orange coloured, L sized, Slim-Fit Trousers",739,42938,2021-01-02,2021-01-15,13.0,fulan 739,Female,57,09 Jesse ParadeApt. 250,1335,East Matthewville,New South Wales,Australia,Active,Adults
2053,2053,414,932,96,1,96,Trousers,Drawstring,M,blue,104,41,"A blue coloured, M sized, Drawstring Trousers",212,57052,2021-01-02,2021-01-03,1.0,fulan 212,Prefer not to say,79,385 Jayden View RdApt. 459,4481,Port Logan,Western Australia,Australia,Active,Seniors
2052,2052,414,233,106,3,318,Shirt,Chambray,L,blue,105,69,"A blue coloured, L sized, Chambray Shirt",212,57052,2021-01-02,2021-01-03,1.0,fulan 212,Prefer not to say,79,385 Jayden View RdApt. 459,4481,Port Logan,Western Australia,Australia,Active,Seniors
3226,3226,650,156,91,1,91,Shirt,Linen,S,green,116,58,"A green coloured, S sized, Linen Shirt",739,42938,2021-01-02,2021-01-15,13.0,fulan 739,Female,57,09 Jesse ParadeApt. 250,1335,East Matthewville,New South Wales,Australia,Active,Adults
2525,2525,509,457,118,2,236,Jacket,Puffer,M,red,110,62,"A red coloured, M sized, Puffer Jacket",676,20368,2021-01-02,2021-01-25,23.0,fulan 676,Prefer not to say,59,140 Jessica BoulevardApt. 214,1938,Kaylafurt,Northern Territory,Australia,Active,Adults
2527,2527,509,841,113,3,339,Trousers,Chinos,S,red,100,62,"A red coloured, S sized, Chinos Trousers",676,20368,2021-01-02,2021-01-25,23.0,fulan 676,Prefer not to say,59,140 Jessica BoulevardApt. 214,1938,Kaylafurt,Northern Territory,Australia,Active,Adults
2529,2529,509,624,112,2,224,Jacket,Cardigan,XL,indigo,118,78,"A indigo coloured, XL sized, Cardigan Jacket",676,20368,2021-01-02,2021-01-25,23.0,fulan 676,Prefer not to say,59,140 Jessica BoulevardApt. 214,1938,Kaylafurt,Northern Territory,Australia,Active,Adults
2528,2528,509,513,102,3,306,Jacket,Windbreaker,L,blue,109,41,"A blue coloured, L sized, Windbreaker Jacket",676,20368,2021-01-02,2021-01-25,23.0,fulan 676,Prefer not to say,59,140 Jessica BoulevardApt. 214,1938,Kaylafurt,Northern Territory,Australia,Active,Adults
2526,2526,509,126,92,2,184,Shirt,Denim,S,blue,115,47,"A blue coloured, S sized, Denim Shirt",676,20368,2021-01-02,2021-01-25,23.0,fulan 676,Prefer not to say,59,140 Jessica BoulevardApt. 214,1938,Kaylafurt,Northern Territory,Australia,Active,Adults
2686,2686,539,1229,112,2,224,Trousers,Tracksuit Bottoms,XL,red,91,45,"A red coloured, XL sized, Tracksuit Bottoms Trousers",609,55906,2021-01-03,2021-01-25,22.0,fulan 609,Prefer not to say,61,515 Grace LaneSuite 974,5754,New Emilyton,Northern Territory,Australia,Active,Adults
2687,2687,539,437,107,1,107,Jacket,Denim,M,green,92,79,"A green coloured, M sized, Denim Jacket",609,55906,2021-01-03,2021-01-25,22.0,fulan 609,Prefer not to say,61,515 Grace LaneSuite 974,5754,New Emilyton,Northern Territory,Australia,Active,Adults
4130,4130,821,961,97,3,291,Trousers,Slim-Fit,S,green,119,70,"A green coloured, S sized, Slim-Fit Trousers",118,27802,2021-01-03,2021-01-10,7.0,fulan 118,Male,57,164 Fisher RidgeSuite 516,9963,South Cameron,Australian Capital Territory,Australia,Active,Adults
4131,4131,821,317,109,2,218,Shirt,Mandarin Collar,M,red,108,60,"A red coloured, M sized, Mandarin Collar Shirt",118,27802,2021-01-03,2021-01-10,7.0,fulan 118,Male,57,164 Fisher RidgeSuite 516,9963,South Cameron,Australian Capital Territory,Australia,Active,Adults
4132,4132,821,1084,93,3,279,Trousers,Joggers,XL,violet,94,40,"A violet coloured, XL sized, Joggers Trousers",118,27802,2021-01-03,2021-01-10,7.0,fulan 118,Male,57,164 Fisher RidgeSuite 516,9963,South Cameron,Australian Capital Territory,Australia,Active,Adults
2688,2688,539,613,112,3,336,Jacket,Cardigan,L,green,118,63,"A green coloured, L sized, Cardigan Jacket",609,55906,2021-01-03,2021-01-25,22.0,fulan 609,Prefer not to say,61,515 Grace LaneSuite 974,5754,New Emilyton,Northern Territory,Australia,Active,Adults
197,197,41,579,100,3,300,Jacket,Bomber,XL,green,90,79,"A green coloured, XL sized, Bomber Jacket",790,53386,2021-01-03,2021-01-09,6.0,fulan 790,Prefer not to say,67,107 Wilkinson ParkwaySuite 249,6313,Nathanfort,Australian Capital Territory,Australia,Active,Seniors
196,196,41,730,119,1,119,Jacket,Trench Coat,XS,violet,112,64,"A violet coloured, XS sized, Trench Coat Jacket",790,53386,2021-01-03,2021-01-09,6.0,fulan 790,Prefer not to say,67,107 Wilkinson ParkwaySuite 249,6313,Nathanfort,Australian Capital Territory,Australia,Active,Seniors
195,195,41,1012,106,1,106,Trousers,Wool,M,violet,111,51,"A violet coloured, M sized, Wool Trousers",790,53386,2021-01-03,2021-01-09,6.0,fulan 790,Prefer not to say,67,107 Wilkinson ParkwaySuite 249,6313,Nathanfort,Australian Capital Territory,Australia,Active,Seniors
2690,2690,539,1098,115,3,345,Trousers,Cropped,L,yellow,99,60,"A yellow coloured, L sized, Cropped Trousers",609,55906,2021-01-03,2021-01-25,22.0,fulan 609,Prefer not to say,61,515 Grace LaneSuite 974,5754,New Emilyton,Northern Territory,Australia,Active,Adults
2689,2689,539,524,102,3,306,Jacket,Windbreaker,XL,violet,109,54,"A violet coloured, XL sized, Windbreaker Jacket",609,55906,2021-01-03,2021-01-25,22.0,fulan 609,Prefer not to say,61,515 Grace LaneSuite 974,5754,New Emilyton,Northern Territory,Australia,Active,Adults
2682,2682,538,33,96,1,96,Shirt,Oxford Cloth,L,violet,114,73,"A violet coloured, L sized, Oxford Cloth Shirt",754,11543,2021-01-04,2021-01-26,22.0,fulan 754,Prefer not to say,74,94 Hayden LaneSuite 912,1488,Lake Jesse,New South Wales,Australia,Active,Seniors
4843,4843,970,403,119,3,357,Shirt,Casual Slim Fit,L,green,113,54,"A green coloured, L sized, Casual Slim Fit Shirt",382,36941,2021-01-04,2021-01-23,19.0,fulan 382,Prefer not to say,24,83 Jordan DriveApt. 011,6714,Rodriguezbury,Victoria,Australia,Active,Youth
2681,2681,538,74,118,2,236,Shirt,Flannel,XL,red,96,72,"A red coloured, XL sized, Flannel Shirt",754,11543,2021-01-04,2021-01-26,22.0,fulan 754,Prefer not to say,74,94 Hayden LaneSuite 912,1488,Lake Jesse,New South Wales,Australia,Active,Seniors
2683,2683,538,1023,90,1,90,Trousers,Relaxed Leg,L,orange,95,78,"A orange coloured, L sized, Relaxed Leg Trousers",754,11543,2021-01-04,2021-01-26,22.0,fulan 754,Prefer not to say,74,94 Hayden LaneSuite 912,1488,Lake Jesse,New South Wales,Australia,Active,Seniors
4847,4847,970,319,109,1,109,Shirt,Mandarin Collar,XL,red,108,64,"A red coloured, XL sized, Mandarin Collar Shirt",382,36941,2021-01-04,2021-01-23,19.0,fulan 382,Prefer not to say,24,83 Jordan DriveApt. 011,6714,Rodriguezbury,Victoria,Australia,Active,Youth
2685,2685,538,810,117,2,234,Jacket,Shearling,XS,orange,95,54,"A orange coloured, XS sized, Shearling Jacket",754,11543,2021-01-04,2021-01-26,22.0,fulan 754,Prefer not to say,74,94 Hayden LaneSuite 912,1488,Lake Jesse,New South Wales,Australia,Active,Seniors
2680,2680,538,351,94,3,282,Shirt,Henley,S,red,92,60,"A red coloured, S sized, Henley Shirt",754,11543,2021-01-04,2021-01-26,22.0,fulan 754,Prefer not to say,74,94 Hayden LaneSuite 912,1488,Lake Jesse,New South Wales,Australia,Active,Seniors
4844,4844,970,1253,112,3,336,Trousers,Tracksuit Bottoms,L,indigo,91,50,"A indigo coloured, L sized, Tracksuit Bottoms Trousers",382,36941,2021-01-04,2021-01-23,19.0,fulan 382,Prefer not to say,24,83 Jordan DriveApt. 011,6714,Rodriguezbury,Victoria,Australia,Active,Youth
4848,4848,970,510,102,1,102,Jacket,Windbreaker,XS,blue,109,59,"A blue coloured, XS sized, Windbreaker Jacket",382,36941,2021-01-04,2021-01-23,19.0,fulan 382,Prefer not to say,24,83 Jordan DriveApt. 011,6714,Rodriguezbury,Victoria,Australia,Active,Youth
4845,4845,970,1211,105,3,315,Trousers,Pleated,S,blue,90,60,"A blue coloured, S sized, Pleated Trousers",382,36941,2021-01-04,2021-01-23,19.0,fulan 382,Prefer not to say,24,83 Jordan DriveApt. 011,6714,Rodriguezbury,Victoria,Australia,Active,Youth
2684,2684,538,213,106,1,106,Shirt,Chambray,L,red,105,44,"A red coloured, L sized, Chambray Shirt",754,11543,2021-01-04,2021-01-26,22.0,fulan 754,Prefer not to say,74,94 Hayden LaneSuite 912,1488,Lake Jesse,New South Wales,Australia,Active,Seniors
2679,2679,538,494,102,1,102,Jacket,Windbreaker,XL,red,109,48,"A red coloured, XL sized, Windbreaker Jacket",754,11543,2021-01-04,2021-01-26,22.0,fulan 754,Prefer not to say,74,94 Hayden LaneSuite 912,1488,Lake Jesse,New South Wales,Australia,Active,Seniors
4846,4846,970,283,105,2,210,Shirt,Cuban Collar,L,red,93,45,"A red coloured, L sized, Cuban Collar Shirt",382,36941,2021-01-04,2021-01-23,19.0,fulan 382,Prefer not to say,24,83 Jordan DriveApt. 011,6714,Rodriguezbury,Victoria,Australia,Active,Youth
2678,2678,538,279,95,1,95,Shirt,Polo,XL,violet,117,79,"A violet coloured, XL sized, Polo Shirt",754,11543,2021-01-04,2021-01-26,22.0,fulan 754,Prefer not to say,74,94 Hayden LaneSuite 912,1488,Lake Jesse,New South Wales,Australia,Active,Seniors
4139,4139,824,589,100,2,200,Jacket,Bomber,XL,indigo,90,50,"A indigo coloured, XL sized, Bomber Jacket",724,51124,2021-01-04,2021-01-28,24.0,fulan 724,Female,66,71 Annabelle RunApt. 053,110,Hoppeville,New South Wales,Australia,Active,Seniors
4140,4140,824,68,104,1,104,Shirt,Dress,L,violet,119,74,"A violet coloured, L sized, Dress Shirt",724,51124,2021-01-04,2021-01-28,24.0,fulan 724,Female,66,71 Annabelle RunApt. 053,110,Hoppeville,New South Wales,Australia,Active,Seniors
4849,4849,970,268,95,2,190,Shirt,Polo,L,blue,117,77,"A blue coloured, L sized, Polo Shirt",382,36941,2021-01-04,2021-01-23,19.0,fulan 382,Prefer not to say,24,83 Jordan DriveApt. 011,6714,Rodriguezbury,Victoria,Australia,Active,Youth
4841,4841,970,912,96,2,192,Trousers,Drawstring,M,red,104,70,"A red coloured, M sized, Drawstring Trousers",382,36941,2021-01-04,2021-01-23,19.0,fulan 382,Prefer not to say,24,83 Jordan DriveApt. 011,6714,Rodriguezbury,Victoria,Australia,Active,Youth
4842,4842,970,965,97,3,291,Trousers,Slim-Fit,XS,blue,119,55,"A blue coloured, XS sized, Slim-Fit Trousers",382,36941,2021-01-04,2021-01-23,19.0,fulan 382,Prefer not to say,24,83 Jordan DriveApt. 011,6714,Rodriguezbury,Victoria,Australia,Active,Youth
4138,4138,824,24,96,3,288,Shirt,Oxford Cloth,XL,blue,114,60,"A blue coloured, XL sized, Oxford Cloth Shirt",724,51124,2021-01-04,2021-01-28,24.0,fulan 724,Female,66,71 Annabelle RunApt. 053,110,Hoppeville,New South Wales,Australia,Active,Seniors
4840,4840,970,914,96,3,288,Trousers,Drawstring,XL,red,104,77,"A red coloured, XL sized, Drawstring Trousers",382,36941,2021-01-04,2021-01-23,19.0,fulan 382,Prefer not to say,24,83 Jordan DriveApt. 011,6714,Rodriguezbury,Victoria,Australia,Active,Youth
4534,4534,903,1132,102,1,102,Trousers,Cargo Pants,M,yellow,106,72,"A yellow coloured, M sized, Cargo Pants Trousers",789,21721,2021-01-05,2021-01-21,16.0,fulan 789,Prefer not to say,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,Active,Adults
1391,1391,286,741,109,1,109,Jacket,Peacoat,S,orange,102,73,"A orange coloured, S sized, Peacoat Jacket",998,18840,2021-01-05,2021-01-08,3.0,fulan 998,Prefer not to say,32,72 Annabelle PassApt. 446,52,Kohlerberg,Queensland,Australia,Active,Adults
1390,1390,286,285,105,3,315,Shirt,Cuban Collar,XS,orange,93,62,"A orange coloured, XS sized, Cuban Collar Shirt",998,18840,2021-01-05,2021-01-08,3.0,fulan 998,Prefer not to say,32,72 Annabelle PassApt. 446,52,Kohlerberg,Queensland,Australia,Active,Adults
1388,1388,286,719,119,3,357,Jacket,Trench Coat,xl,green,112,53,"A green coloured, XL sized, Trench Coat Jacket",998,18840,2021-01-05,2021-01-08,3.0,fulan 998,Prefer not to say,32,72 Annabelle PassApt. 446,52,Kohlerberg,Queensland,Australia,Active,Adults
1387,1387,286,982,106,3,318,Trousers,Wool,M,red,111,58,"A red coloured, M sized, Wool Trousers",998,18840,2021-01-05,2021-01-08,3.0,fulan 998,Prefer not to say,32,72 Annabelle PassApt. 446,52,Kohlerberg,Queensland,Australia,Active,Adults
1386,1386,286,740,109,1,109,Jacket,Peacoat,XS,orange,102,78,"A orange coloured, XS sized, Peacoat Jacket",998,18840,2021-01-05,2021-01-08,3.0,fulan 998,Prefer not to say,32,72 Annabelle PassApt. 446,52,Kohlerberg,Queensland,Australia,Active,Adults
830,830,172,574,100,3,300,Jacket,Bomber,XL,yellow,90,50,"A yellow coloured, XL sized, Bomber Jacket",224,47514,2021-01-05,2021-01-27,22.0,fulan 224,Prefer not to say,78,20 Xavier RidgeApt. 805,7744,Hansenberg,New South Wales,Australia,Active,Seniors
831,831,172,413,119,1,119,Shirt,Casual Slim Fit,L,indigo,113,60,"A indigo coloured, L sized, Casual Slim Fit Shirt",224,47514,2021-01-05,2021-01-27,22.0,fulan 224,Prefer not to say,78,20 Xavier RidgeApt. 805,7744,Hansenberg,New South Wales,Australia,Active,Seniors
832,832,172,1156,99,2,198,Trousers,High-Waisted,S,red,98,80,"A red coloured, S sized, High-Waisted Trousers",224,47514,2021-01-05,2021-01-27,22.0,fulan 224,Prefer not to say,78,20 Xavier RidgeApt. 805,7744,Hansenberg,New South Wales,Australia,Active,Seniors
833,833,172,683,113,3,339,Jacket,Parka,L,green,119,55,"A green coloured, L sized, Parka Jacket",224,47514,2021-01-05,2021-01-27,22.0,fulan 224,Prefer not to say,78,20 Xavier RidgeApt. 805,7744,Hansenberg,New South Wales,Australia,Active,Seniors
834,834,172,706,119,3,357,Jacket,Trench Coat,S,orange,112,41,"A orange coloured, S sized, Trench Coat Jacket",224,47514,2021-01-05,2021-01-27,22.0,fulan 224,Prefer not to say,78,20 Xavier RidgeApt. 805,7744,Hansenberg,New South Wales,Australia,Active,Seniors
835,835,172,1245,112,3,336,Trousers,Tracksuit Bottoms,XS,blue,91,42,"A blue coloured, XS sized, Tracksuit Bottoms Trousers",224,47514,2021-01-05,2021-01-27,22.0,fulan 224,Prefer not to say,78,20 Xavier RidgeApt. 805,7744,Hansenberg,New South Wales,Australia,Active,Seniors
1389,1389,286,802,91,2,182,Jacket,Pullover,M,violet,114,78,"A violet coloured, M sized, Pullover Jacket",998,18840,2021-01-05,2021-01-08,3.0,fulan 998,Prefer not to say,32,72 Annabelle PassApt. 446,52,Kohlerberg,Queensland,Australia,Active,Adults
4533,4533,903,420,107,3,321,Jacket,Denim,XS,red,92,60,"A red coloured, XS sized, Denim Jacket",789,21721,2021-01-05,2021-01-21,16.0,fulan 789,Prefer not to say,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,Active,Adults
1069,1069,219,288,105,1,105,Shirt,Cuban Collar,L,orange,93,65,"A orange coloured, L sized, Cuban Collar Shirt",667,14137,2021-01-05,2021-01-10,5.0,fulan 667,Prefer not to say,30,66 Jacob PassSuite 159,4671,New Beau,Victoria,Australia,Active,Adults
1326,1326,275,1190,105,3,315,Trousers,Pleated,XS,red,90,42,"A red coloured, XS sized, Pleated Trousers",329,17666,2021-01-05,2021-01-15,10.0,fulan 329,Prefer not to say,53,3203 Jackson TerraceSuite 580,5466,South Claudialand,Western Australia,Australia,Active,Adults
1327,1327,275,420,107,2,214,Jacket,Denim,XS,red,92,60,"A red coloured, XS sized, Denim Jacket",329,17666,2021-01-05,2021-01-15,10.0,fulan 329,Prefer not to say,53,3203 Jackson TerraceSuite 580,5466,South Claudialand,Western Australia,Australia,Active,Adults
1328,1328,275,867,113,1,113,Trousers,Chinos,M,indigo,100,64,"A indigo coloured, M sized, Chinos Trousers",329,17666,2021-01-05,2021-01-15,10.0,fulan 329,Prefer not to say,53,3203 Jackson TerraceSuite 580,5466,South Claudialand,Western Australia,Australia,Active,Adults
4531,4531,903,651,93,2,186,Jacket,Coach,S,blue,115,47,"A blue coloured, S sized, Coach Jacket",789,21721,2021-01-05,2021-01-21,16.0,fulan 789,Prefer not to say,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,Active,Adults
4532,4532,903,992,106,2,212,Trousers,Wool,M,yellow,111,43,"A yellow coloured, M sized, Wool Trousers",789,21721,2021-01-05,2021-01-21,16.0,fulan 789,Prefer not to say,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,Active,Adults
4530,4530,903,121,92,1,92,Shirt,Denim,S,green,115,49,"A green coloured, S sized, Denim Shirt",789,21721,2021-01-05,2021-01-21,16.0,fulan 789,Prefer not to say,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,Active,Adults
1325,1325,275,1217,105,3,315,Trousers,Pleated,M,indigo,90,48,"A indigo coloured, M sized, Pleated Trousers",329,17666,2021-01-05,2021-01-15,10.0,fulan 329,Prefer not to say,53,3203 Jackson TerraceSuite 580,5466,South Claudialand,Western Australia,Australia,Active,Adults
1324,1324,275,4,96,3,288,Shirt,Oxford Cloth,XL,red,114,47,"A red coloured, XL sized, Oxford Cloth Shirt",329,17666,2021-01-05,2021-01-15,10.0,fulan 329,Prefer not to say,53,3203 Jackson TerraceSuite 580,5466,South Claudialand,Western Australia,Australia,Active,Adults
4529,4529,903,516,102,2,204,Jacket,Windbreaker,S,indigo,109,62,"A indigo coloured, S sized, Windbreaker Jacket",789,21721,2021-01-05,2021-01-21,16.0,fulan 789,Prefer not to say,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia,Active,Adults
